"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2023","165","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","10","32","37","165","25"
"01/02/2023","39","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","28","17","39","27"
"01/03/2023","40","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","27","19","40","33"
"01/04/2023","46","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","26","20","46","38"
"01/05/2023","39","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","32","16","39","36"
"01/06/2023","45","Ozone","Daniela Banu NCORE","12-011-0034","AQS","6","45","22","34","37"
"01/07/2023","46","Ozone","Vista View Park","12-011-0033","AQS","6","46","13","29","42"
"01/08/2023","48","NO2","Perimeter Road","12-086-0035","AQS","13","45","12","36","48"
"01/09/2023","62","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","16","46","25","62","45"
"01/10/2023","54","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","44","21","54","38"
"01/11/2023","67","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","54","26","67","54"
"01/12/2023","61","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","49","23","61","58"
"01/13/2023","54","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","39","26","54","40"
"01/14/2023","36","Ozone","Daniela Banu NCORE","12-011-0034","AQS","2","36","16","34","25"
"01/15/2023","54","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","42","19","54","42"
"01/16/2023","74","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","20","51","21","74","56"
"01/17/2023","67","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","27","47","25","67","65"
"01/18/2023","62","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","15","43","24","62","62"
"01/19/2023","45","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","42","19","45","37"
"01/20/2023","72","PM2.5","Belle Glade","12-099-0008","AQS","9","37","21","72","36"
"01/21/2023","55","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","10","35","18","55","38"
"01/22/2023","52","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","33","22","52","23"
"01/23/2023","58","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","37","23","58","25"
"01/24/2023","49","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","3","37","26","49","26"
"01/25/2023","52","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","31","27","52","25"
"01/26/2023","53","PM2.5","Coconut Creek","12-011-5005","AQS","3","36","23","53","24"
"01/27/2023","48","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","38","21","48","27"
"01/28/2023","39","Ozone","Lantana Preserve","12-099-0021","AQS","6","39","18","38","15"
"01/29/2023","38","PM2.5","Coconut Creek","12-011-5005","AQS","5","38","19","38","25"
"01/30/2023","40","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","31","19","40","26"
"01/31/2023","53","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","37","23","53","38"
"02/01/2023","46","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","32","21","46","30"
"02/02/2023","55","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","34","20","55","29"
"02/03/2023","45","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","36","19","45","24"
"02/04/2023","47","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","3","39","20","47","29"
"02/05/2023","37","Ozone","Lantana Preserve","12-099-0021","AQS","5","37","13","34","37"
"02/06/2023","41","Ozone","Lantana Preserve","12-099-0021","AQS","6","41","19","39","32"
"02/07/2023","45","Ozone","Daniela Banu NCORE","12-011-0034","AQS","7","45","21","41","22"
"02/08/2023","45","Ozone","Rosenstiel","12-086-0027","AQS","7","45","29","43","42"
"02/09/2023","48","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","37","31","48","28"
"02/10/2023","46","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","37","26","46","35"
"02/11/2023","45","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","30","22","45","25"
"02/12/2023","47","NO2","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","5","44","22","43","47"
"02/13/2023","62","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","48","21","62","51"
"02/14/2023","55","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","46","20","55","39"
"02/15/2023","43","PM2.5","Coconut Creek","12-011-5005","AQS","6","42","31","43","38"
"02/16/2023","52","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","37","35","52","30"
"02/17/2023","62","PM2.5","KENDALL","12-086-0034","AQS","10","31","24","62","32"
"02/18/2023","58","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","10","34","26","58","27"
"02/19/2023","54","PM2.5","KENDALL","12-086-0034","AQS","7","35","22","54","21"
"02/20/2023","58","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","42","25","58","37"
