type,Settled_Time,Market_Title,Result,Profit_In_Dollars,Yes_Contracts_Owned,Yes_Contracts_Average_Price_In_Cents,No_Contracts_Owned,No_Contracts_Average_Price_In_Cents,Status,Amount_In_Dollars,Market_Id,Original_Date,Filled,Canceled_By_You,Canceled_By_NSF,Canceled_By_Closing,Original_Placed,Remaining,Price_In_Cents,Fee_In_Dollars,Traded_Time,Direction,Last_Updated,Deposit_Type
Settlement,2023-10-12T11:01:20.123108Z,Will the **high temp in Miami** be >91° on Oct 11 2023?,no,0,100,27,0,0,,,,,,,,,,,,,,,,
Settlement,2023-10-12T11:01:20.123108Z,Will the **high temp in Miami** be <84° on Oct 11 2023?,no,0,0,0,0,0,,,,,,,,,,,,,,,,
Settlement,2023-10-12T11:01:20.123108Z,Will the **high temp in Miami** be 90-91° on Oct 11 2023?,no,0,100,28,100,62,,,,,,,,,,,,,,,,
Settlement,2023-10-12T11:01:20.123108Z,Will the **high temp in Miami** be 88-89° on Oct 11 2023?,yes,0,0,0,200,68,,,,,,,,,,,,,,,,
Settlement,2023-10-12T11:01:20.123108Z,Will the **high temp in Miami** be 86-87° on Oct 11 2023?,no,1,0,0,1,85,,,,,,,,,,,,,,,,
Settlement,2023-10-12T11:01:20.123108Z,Will the **high temp in Miami** be 84-85° on Oct 11 2023?,no,1,0,0,1,93,,,,,,,,,,,,,,,,
Order,,Will the **high temp in Miami** be >91° on Oct 11 2023?,,,,,,,Canceled ,,35b76d43-f2cb-462e-863b-33b1ab24af5d,11-Oct-23,0,0,0,100,100,0,,,,,,
Order,,Will the **high temp in Miami** be >91° on Oct 11 2023?,,,,,,,Canceled ,,35b76d43-f2cb-462e-863b-33b1ab24af5d,11-Oct-23,0,0,0,100,100,0,,,,,,
Order,,Will the **high temp in Miami** be >91° on Oct 11 2023?,,,,,,,Canceled ,,35b76d43-f2cb-462e-863b-33b1ab24af5d,11-Oct-23,0,100,0,0,100,0,,,,,,
Order,,Will the **high temp in Miami** be <84° on Oct 11 2023?,,,,,,,Canceled ,,c162ce11-df00-43f6-b8d3-14cd9489dd24,11-Oct-23,0,100,0,0,100,0,,,,,,
Order,,Will the **high temp in Miami** be 84-85° on Oct 11 2023?,,,,,,,Partially Filled / Partially Canceled,,370e6acf-9d83-4d69-8410-d140f84ab0b9,11-Oct-23,1,99,0,0,100,0,,,,,,
Order,,Will the **high temp in Miami** be 88-89° on Oct 11 2023?,,,,,,,Canceled ,,48ec951c-84f0-45e4-951f-2d9151448d5f,11-Oct-23,0,100,0,0,100,0,,,,,,
Order,,Will the **high temp in Miami** be 86-87° on Oct 11 2023?,,,,,,,Partially Filled / Partially Canceled,,4ca900eb-4fef-4565-9efd-a7bd6843b541,11-Oct-23,1,99,0,0,100,0,,,,,,
Order,,Will the **high temp in Miami** be 88-89° on Oct 11 2023?,,,,,,,Filled ,,48ec951c-84f0-45e4-951f-2d9151448d5f,11-Oct-23,100,0,0,0,100,0,,,,,,
Trade,,Will the **high temp in Miami** be 88-89° on Oct 11 2023?,,,,,,,,98,48ec951c-84f0-45e4-951f-2d9151448d5f,11-Oct-23,,,,,,,72,0,"Oct 11, 2023 at 10:52PM EDT",No,,
Trade,,Will the **high temp in Miami** be 84-85° on Oct 11 2023?,,,,,,,,1,370e6acf-9d83-4d69-8410-d140f84ab0b9,11-Oct-23,,,,,,,93,0,"Oct 11, 2023 at 3:26PM EDT",No,,
Trade,,Will the **high temp in Miami** be 86-87° on Oct 11 2023?,,,,,,,,1,4ca900eb-4fef-4565-9efd-a7bd6843b541,11-Oct-23,,,,,,,85,0,"Oct 11, 2023 at 3:26PM EDT",No,,
Trade,,Will the **high temp in Miami** be 88-89° on Oct 11 2023?,,,,,,,,1,48ec951c-84f0-45e4-951f-2d9151448d5f,11-Oct-23,,,,,,,72,0,"Oct 11, 2023 at 3:24PM EDT",No,,
Order,,Will the **high temp in Miami** be 86-87° on Oct 11 2023?,,,,,,,Canceled ,,4ca900eb-4fef-4565-9efd-a7bd6843b541,11-Oct-23,0,100,0,0,100,0,,,,,,
Order,,Will the **high temp in Miami** be 90-91° on Oct 11 2023?,,,,,,,Filled ,,0a66f328-af63-4e54-8bd2-4f6f63a88575,11-Oct-23,100,0,0,0,100,0,,,,,,
Trade,,Will the **high temp in Miami** be 90-91° on Oct 11 2023?,,,,,,,,100,0a66f328-af63-4e54-8bd2-4f6f63a88575,11-Oct-23,,,,,,,28,0,"Oct 11, 2023 at 2:26PM EDT",Yes,,
Order,,Will the **high temp in Miami** be >91° on Oct 11 2023?,,,,,,,Filled ,,35b76d43-f2cb-462e-863b-33b1ab24af5d,11-Oct-23,100,0,0,0,100,0,,,,,,
Trade,,Will the **high temp in Miami** be >91° on Oct 11 2023?,,,,,,,,100,35b76d43-f2cb-462e-863b-33b1ab24af5d,11-Oct-23,,,,,,,27,0,"Oct 11, 2023 at 2:26PM EDT",Yes,,
Order,,Will the **high temp in Miami** be 90-91° on Oct 11 2023?,,,,,,,Filled ,,0a66f328-af63-4e54-8bd2-4f6f63a88575,11-Oct-23,100,0,0,0,100,0,,,,,,
