month,day,year,days,high_temp,low_temp,avg_temp,departure,HDD,CDD,precipitation,new_snow,snow_depth,windspeed_10m_max_(mp/h),shortwave_radiation_sum_(MJ/m²),et0_fao_evapotranspiration_(mm),AQI,average_ocean_temp,tide_height(ft)
1,1,2021,0,82,74.0,78.0,8.8,0,13,0.00,0.0,0,19.8,14.43,3.33,51.0,73.50416666666668,0.0191666666666666
1,2,2021,1,82,69.0,75.5,6.4,0,11,0.001,0.0,0,16.7,12.51,2.95,53.0,74.30833333333334,-0.2208333333333333
1,3,2021,2,84,68.0,76.0,7.0,0,11,0.00,0.0,0,11.9,13.2,3.34,45.0,75.39166666666667,-0.3133333333333333
1,4,2021,3,75,64.0,69.5,0.6,0,5,0.001,M,M,10.3,9.0,2.16,48.0,76.45416666666667,-0.3058333333333333
1,5,2021,4,72,56.0,64.0,-4.8,1,0,0.00,M,M,12.5,16.54,4.09,52.0,75.5625,-0.1654166666666666
1,6,2021,5,75,52.0,63.5,-5.2,1,0,0.00,M,M,8.3,16.29,3.34,53.0,74.72083333333335,-0.065
1,7,2021,6,77,52.0,64.5,-4.1,0,0,0.00,0.0,M,12.0,14.77,3.44,50.0,74.90833333333333,0.2316666666666667
1,8,2021,7,75,63.0,69.0,0.4,0,4,0.001,0.0,M,16.4,10.92,2.93,40.0,74.575,0.2262499999999999
1,9,2021,8,66,55.0,60.5,-8.0,4,0,0.00,M,M,14.5,15.85,3.52,58.0,73.62916666666666,0.1895833333333333
1,10,2021,9,72,49.0,60.5,-7.9,4,0,0.00,0.0,M,13.2,15.0,3.13,45.0,72.60416666666667,0.0633333333333333
1,11,2021,10,77,60.0,68.5,0.1,0,4,0.00,M,M,14.4,13.15,3.55,43.0,71.98333333333333,0.2108333333333333
1,12,2021,11,78,67.0,72.5,4.2,0,8,0.001,M,M,9.4,8.07,1.82,52.0,71.90833333333333,0.1391666666666667
1,13,2021,12,77,62.0,69.5,1.2,0,5,0.20,M,M,13.8,11.63,2.38,65.0,72.77083333333333,0.1641666666666666
1,14,2021,13,70,59.0,64.5,-3.8,0,0,0.29,M,M,13.8,10.06,1.83,64.0,73.39583333333333,0.3041666666666666
1,15,2021,14,76,63.0,69.5,1.2,0,5,0.00,M,M,11.3,12.83,2.54,52.0,73.33749999999999,0.4658333333333333
1,16,2021,15,74,60.0,67.0,-1.3,0,2,0.00,M,M,17.9,14.93,3.7,41.0,73.42083333333333,0.3575000000000001
1,17,2021,16,69,52.0,60.5,-7.8,4,0,0.00,0.0,0,9.5,13.99,2.92,41.0,72.66666666666667,0.3133333333333333
1,18,2021,17,73,60.0,66.5,-1.8,0,2,0.01,0.0,0,8.7,12.7,2.79,53.0,72.52916666666665,0.2129166666666666
1,19,2021,18,75,59.0,67.0,-1.3,0,2,0.00,0.0,0,12.2,15.55,3.8,47.0,72.41250000000001,0.0095833333333333
1,20,2021,19,75,59.0,67.0,-1.3,0,2,0.00,0.0,0,13.4,16.34,3.75,45.0,72.32916666666667,-0.1304166666666666
