month,day,year,days,high_temp,low_temp,avg_temp,departure,HDD,CDD,precipitation,new_snow,snow_depth
1,1,2021,0,82,74,78.0,8.8,0,13,0.00,0.0,0
1,2,2021,1,82,69,75.5,6.4,0,11,T,0.0,0
1,3,2021,2,84,68,76.0,7.0,0,11,0.00,0.0,0
1,4,2021,3,75,64,69.5,0.6,0,5,T,M,M
1,5,2021,4,72,56,64.0,-4.8,1,0,0.00,M,M
1,6,2021,5,75,52,63.5,-5.2,1,0,0.00,M,M
1,7,2021,6,77,52,64.5,-4.1,0,0,0.00,0.0,M
1,8,2021,7,75,63,69.0,0.4,0,4,T,0.0,M
1,9,2021,8,66,55,60.5,-8.0,4,0,0.00,M,M
1,10,2021,9,72,49,60.5,-7.9,4,0,0.00,0.0,M
1,11,2021,10,77,60,68.5,0.1,0,4,0.00,M,M
1,12,2021,11,78,67,72.5,4.2,0,8,T,M,M
1,13,2021,12,77,62,69.5,1.2,0,5,0.20,M,M
1,14,2021,13,70,59,64.5,-3.8,0,0,0.29,M,M
1,15,2021,14,76,63,69.5,1.2,0,5,0.00,M,M
1,16,2021,15,74,60,67.0,-1.3,0,2,0.00,M,M
1,17,2021,16,69,52,60.5,-7.8,4,0,0.00,0.0,0
1,18,2021,17,73,60,66.5,-1.8,0,2,0.01,0.0,0
1,19,2021,18,75,59,67.0,-1.3,0,2,0.00,0.0,0
1,20,2021,19,75,59,67.0,-1.3,0,2,0.00,0.0,0
1,21,2021,20,77,57,67.0,-1.4,0,2,0.00,0.0,0
1,22,2021,21,80,56,68.0,-0.4,0,3,0.00,0.0,M
1,23,2021,22,81,57,69.0,0.5,0,4,0.00,0.0,M
1,24,2021,23,82,65,73.5,5.0,0,9,0.00,0.0,M
1,25,2021,24,79,67,73.0,4.4,0,8,0.00,M,0
1,26,2021,25,83,67,75.0,6.3,0,10,0.00,0.0,M
1,27,2021,26,86,66,76.0,7.2,0,11,0.00,M,0
1,28,2021,27,76,57,66.5,-2.4,0,2,0.00,M,0
1,29,2021,28,74,55,64.5,-4.4,0,0,0.00,M,0
1,30,2021,29,75,58,66.5,-2.5,0,2,0.00,0.0,M
1,31,2021,30,78,68,73.0,3.9,0,8,0.00,0.0,M
