month,day,year,days,high_temp,low_temp,avg_temp,departure,HDD,CDD,precipitation,new_snow,snow_depth
1,1,2021,0,82,74,78.0,8.8,0,13,0.00,0.0,0
1,2,2021,1,82,69,75.5,6.4,0,11,T,0.0,0
1,3,2021,2,84,68,76.0,7.0,0,11,0.00,0.0,0
1,4,2021,3,75,64,69.5,0.6,0,5,T,M,M
1,5,2021,4,72,56,64.0,-4.8,1,0,0.00,M,M
1,6,2021,5,75,52,63.5,-5.2,1,0,0.00,M,M
1,7,2021,6,77,52,64.5,-4.1,0,0,0.00,0.0,M
1,8,2021,7,75,63,69.0,0.4,0,4,T,0.0,M
1,9,2021,8,66,55,60.5,-8.0,4,0,0.00,M,M
1,10,2021,9,72,49,60.5,-7.9,4,0,0.00,0.0,M
1,11,2021,10,77,60,68.5,0.1,0,4,0.00,M,M
1,12,2021,11,78,67,72.5,4.2,0,8,T,M,M
1,13,2021,12,77,62,69.5,1.2,0,5,0.20,M,M
1,14,2021,13,70,59,64.5,-3.8,0,0,0.29,M,M
1,15,2021,14,76,63,69.5,1.2,0,5,0.00,M,M
1,16,2021,15,74,60,67.0,-1.3,0,2,0.00,M,M
1,17,2021,16,69,52,60.5,-7.8,4,0,0.00,0.0,0
1,18,2021,17,73,60,66.5,-1.8,0,2,0.01,0.0,0
1,19,2021,18,75,59,67.0,-1.3,0,2,0.00,0.0,0
1,20,2021,19,75,59,67.0,-1.3,0,2,0.00,0.0,0
1,21,2021,20,77,57,67.0,-1.4,0,2,0.00,0.0,0
1,22,2021,21,80,56,68.0,-0.4,0,3,0.00,0.0,M
1,23,2021,22,81,57,69.0,0.5,0,4,0.00,0.0,M
1,24,2021,23,82,65,73.5,5.0,0,9,0.00,0.0,M
1,25,2021,24,79,67,73.0,4.4,0,8,0.00,M,0
1,26,2021,25,83,67,75.0,6.3,0,10,0.00,0.0,M
1,27,2021,26,86,66,76.0,7.2,0,11,0.00,M,0
1,28,2021,27,76,57,66.5,-2.4,0,2,0.00,M,0
1,29,2021,28,74,55,64.5,-4.4,0,0,0.00,M,0
1,30,2021,29,75,58,66.5,-2.5,0,2,0.00,0.0,M
1,31,2021,30,78,68,73.0,3.9,0,8,0.00,0.0,M
2,1,2021,31,76,57,66.5,-2.8,0,2,0.02,0.0,M
2,2,2021,32,65,52,58.5,-10.9,6,0,0.00,0.0,0
2,3,2021,33,67,50,58.5,-11.0,6,0,0.00,M,0
2,4,2021,34,72,49,60.5,-9.1,4,0,0.00,0.0,M
2,5,2021,35,78,56,67.0,-2.7,0,2,0.00,0.0,M
2,6,2021,36,82,71,76.5,6.7,0,12,0.98,0.0,M
2,7,2021,37,86,72,79.0,9.1,0,14,0.00,0.0,M
2,8,2021,38,85,72,78.5,8.4,0,14,0.00,M,M
2,9,2021,39,83,70,76.5,6.3,0,12,0.00,M,M
2,10,2021,40,83,70,76.5,6.2,0,12,0.00,M,M
2,11,2021,41,81,73,77.0,6.6,0,12,0.00,0.0,M
2,12,2021,42,84,72,78.0,7.5,0,13,0.00,M,M
2,13,2021,43,83,75,79.0,8.4,0,14,T,M,M
2,14,2021,44,86,76,81.0,10.3,0,16,0.00,M,M
2,15,2021,45,86,75,80.5,9.7,0,16,0.22,M,M
2,16,2021,46,83,72,77.5,6.6,0,13,1.24,0.0,0
2,17,2021,47,83,72,77.5,6.5,0,13,0.02,0.0,0
2,18,2021,48,85,75,80.0,8.9,0,15,0.00,0.0,M
2,19,2021,49,85,67,76.0,4.8,0,11,0.21,0.0,M
2,20,2021,50,76,62,69.0,-2.3,0,4,0.00,0.0,M
2,21,2021,51,76,64,70.0,-1.4,0,5,0.01,0.0,M
2,22,2021,52,81,70,75.5,4.0,0,11,T,0.0,M
2,23,2021,53,85,71,78.0,6.5,0,13,0.06,0.0,M
2,24,2021,54,80,70,75.0,3.4,0,10,0.13,0.0,0
2,25,2021,55,86,68,77.0,5.3,0,12,T,0.0,0
2,26,2021,56,84,71,77.5,5.7,0,13,0.01,0.0,0
2,27,2021,57,83,75,79.0,7.2,0,14,0.00,0.0,0
2,28,2021,58,84,75,79.5,7.6,0,15,T,0.0,M
3,1,2021,59,84,73,78.5,6.5,0,14,0.00,0.0,0
3,2,2021,60,85,70,77.5,5.5,0,13,0.00,0.0,0
3,3,2021,61,86,67,76.5,4.4,0,12,0.00,0.0,0
3,4,2021,62,73,60,66.5,-5.7,0,2,0.00,0.0,M
3,5,2021,63,80,62,71.0,-1.2,0,6,0.00,0.0,M
3,6,2021,64,79,63,71.0,-1.3,0,6,1.42,0.0,M
3,7,2021,65,78,61,69.5,-2.8,0,5,0.00,M,M
3,8,2021,66,73,57,65.0,-7.4,0,0,T,0.0,M
3,9,2021,67,75,68,71.5,-1.0,0,7,T,0.0,M
3,10,2021,68,78,68,73.0,0.5,0,8,0.09,0.0,M
3,11,2021,69,80,67,73.5,0.9,0,9,0.02,0.0,0
3,12,2021,70,80,69,74.5,1.8,0,10,0.00,0.0,0
3,13,2021,71,81,70,75.5,2.8,0,11,0.00,0.0,0
3,14,2021,72,82,65,73.5,0.7,0,9,0.00,0.0,0
3,15,2021,73,83,65,74.0,1.1,0,9,0.00,0.0,0
3,16,2021,74,81,71,76.0,3.0,0,11,0.00,0.0,0
3,17,2021,75,83,72,77.5,4.4,0,13,0.00,0.0,M
3,18,2021,76,85,74,79.5,6.3,0,15,0.00,0.0,0
3,19,2021,77,85,64,74.5,1.3,0,10,0.34,0.0,0
3,20,2021,78,82,58,70.0,-3.3,0,5,0.00,0.0,0
3,21,2021,79,78,60,69.0,-4.4,0,4,0.00,0.0,0
3,22,2021,80,78,58,68.0,-5.5,0,3,0.00,0.0,0
3,23,2021,81,80,62,71.0,-2.6,0,6,0.00,0.0,0
3,24,2021,82,84,61,72.5,-1.3,0,8,0.00,0.0,0
3,25,2021,83,86,74,80.0,6.1,0,15,0.00,0.0,0
3,26,2021,84,85,76,80.5,6.5,0,16,0.00,0.0,0
3,27,2021,85,85,74,79.5,5.4,0,15,T,0.0,0
3,28,2021,86,85,76,80.5,6.3,0,16,0.00,0.0,0
3,29,2021,87,86,73,79.5,5.1,0,15,0.00,0.0,0
3,30,2021,88,86,76,81.0,6.5,0,16,0.00,0.0,0
3,31,2021,89,86,75,80.5,5.9,0,16,T,0.0,0
4,1,2021,90,89,70,79.5,4.8,0,15,0.06,0.0,0
