"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2023/01/01","00:00","-0.211","-","0.25"
"2023/01/01","01:00","-0.629","-","-0.17"
"2023/01/01","02:00","-1.01","-","-0.5"
"2023/01/01","03:00","-1.221","-","-0.71"
"2023/01/01","04:00","-1.151","-","-0.68"
"2023/01/01","05:00","-0.851","-","-0.36"
"2023/01/01","06:00","-0.448","-","0.11"
"2023/01/01","07:00","-0.002","-","0.54"
"2023/01/01","08:00","0.448","-","0.97"
"2023/01/01","09:00","0.763","-","1.27"
"2023/01/01","10:00","0.8","-","1.37"
"2023/01/01","11:00","0.58","-","1.13"
"2023/01/01","12:00","0.241","-","0.65"
"2023/01/01","13:00","-0.136","-","0.29"
"2023/01/01","14:00","-0.526","-","-0.01"
"2023/01/01","15:00","-0.827","-","-0.28"
"2023/01/01","16:00","-0.89","-","-0.31"
"2023/01/01","17:00","-0.695","-","-0.15"
"2023/01/01","18:00","-0.365","-","0.21"
"2023/01/01","19:00","0.002","-","0.6"
"2023/01/01","20:00","0.378","-","0.94"
"2023/01/01","21:00","0.676","-","1.2"
"2023/01/01","22:00","0.74","-","1.33"
"2023/01/01","23:00","0.524","-","1.11"
"2023/01/02","00:00","0.148","-","0.65"
"2023/01/02","01:00","-0.263","-","0.22"
"2023/01/02","02:00","-0.681","-","-0.17"
"2023/01/02","03:00","-1.055","-","-0.52"
"2023/01/02","04:00","-1.242","-","-0.68"
"2023/01/02","05:00","-1.149","-","-0.61"
"2023/01/02","06:00","-0.844","-","-0.28"
"2023/01/02","07:00","-0.442","-","0.19"
"2023/01/02","08:00","0.017","-","0.59"
"2023/01/02","09:00","0.481","-","0.98"
"2023/01/02","10:00","0.788","-","1.28"
"2023/01/02","11:00","0.803","-","1.33"
"2023/01/02","12:00","0.569","-","1.04"
"2023/01/02","13:00","0.226","-","0.63"
"2023/01/02","14:00","-0.157","-","0.28"
"2023/01/02","15:00","-0.548","-","-0.07"
"2023/01/02","16:00","-0.831","-","-0.32"
"2023/01/02","17:00","-0.867","-","-0.41"
"2023/01/02","18:00","-0.663","-","-0.23"
"2023/01/02","19:00","-0.344","-","0.15"
"2023/01/02","20:00","0.017","-","0.53"
"2023/01/02","21:00","0.392","-","0.8"
"2023/01/02","22:00","0.676","-","1.07"
"2023/01/02","23:00","0.707","-","1.11"
"2023/01/03","00:00","0.464","-","0.87"
"2023/01/03","01:00","0.079","-","0.42"
"2023/01/03","02:00","-0.336","-","0.02"
"2023/01/03","03:00","-0.757","-","-0.35"
"2023/01/03","04:00","-1.116","-","-0.66"
"2023/01/03","05:00","-1.267","-","-0.77"
"2023/01/03","06:00","-1.139","-","-0.65"
"2023/01/03","07:00","-0.816","-","-0.3"
"2023/01/03","08:00","-0.397","-","0.22"
"2023/01/03","09:00","0.084","-","0.61"
"2023/01/03","10:00","0.553","-","1.01"
"2023/01/03","11:00","0.832","-","1.3"
"2023/01/03","12:00","0.801","-","1.38"
"2023/01/03","13:00","0.532","-","1.09"
"2023/01/03","14:00","0.171","-","0.68"
"2023/01/03","15:00","-0.223","-","0.29"
"2023/01/03","16:00","-0.61","-","-0.09"
"2023/01/03","17:00","-0.861","-","-0.36"
"2023/01/03","18:00","-0.857","-","-0.37"
"2023/01/03","19:00","-0.632","-","-0.12"
"2023/01/03","20:00","-0.305","-","0.3"
"2023/01/03","21:00","0.064","-","0.65"
"2023/01/03","22:00","0.443","-","0.96"
"2023/01/03","23:00","0.7","-","1.18"
"2023/01/04","00:00","0.681","-","1.15"
"2023/01/04","01:00","0.394","-","0.84"
"2023/01/04","02:00","-0.013","-","0.41"
"2023/01/04","03:00","-0.437","-","0.01"
"2023/01/04","04:00","-0.856","-","-0.36"
"2023/01/04","05:00","-1.188","-","-0.64"
"2023/01/04","06:00","-1.287","-","-0.73"
"2023/01/04","07:00","-1.111","-","-0.55"
"2023/01/04","08:00","-0.754","-","-0.15"
"2023/01/04","09:00","-0.308","-","0.32"
"2023/01/04","10:00","0.195","-","0.75"
"2023/01/04","11:00","0.652","-","1.11"
"2023/01/04","12:00","0.875","-","1.33"
"2023/01/04","13:00","0.774","-","1.28"
"2023/01/04","14:00","0.457","-","0.91"
"2023/01/04","15:00","0.072","-","0.49"
"2023/01/04","16:00","-0.329","-","0.12"
"2023/01/04","17:00","-0.698","-","-0.26"
"2023/01/04","18:00","-0.902","-","-0.46"
"2023/01/04","19:00","-0.844","-","-0.45"
"2023/01/04","20:00","-0.583","-","-0.21"
"2023/01/04","21:00","-0.237","-","0.17"
"2023/01/04","22:00","0.147","-","0.57"
"2023/01/04","23:00","0.52","-","0.88"
"2023/01/05","00:00","0.731","-","1.06"
"2023/01/05","01:00","0.642","-","1"
"2023/01/05","02:00","0.299","-","0.57"
"2023/01/05","03:00","-0.133","-","0.14"
"2023/01/05","04:00","-0.564","-","-0.24"
"2023/01/05","05:00","-0.97","-","-0.62"
"2023/01/05","06:00","-1.257","-","-0.86"
"2023/01/05","07:00","-1.29","-","-0.87"
"2023/01/05","08:00","-1.052","-","-0.7"
"2023/01/05","09:00","-0.653","-","-0.24"
"2023/01/05","10:00","-0.175","-","0.22"
"2023/01/05","11:00","0.336","-","0.63"
"2023/01/05","12:00","0.755","-","0.97"
"2023/01/05","13:00","0.895","-","1.15"
"2023/01/05","14:00","0.709","-","1.04"
"2023/01/05","15:00","0.34","-","0.61"
"2023/01/05","16:00","-0.065","-","0.13"
