"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2021/01/01","00:00","0.032","-","0.37"
"2021/01/01","01:00","0.44","-","0.73"
"2021/01/01","02:00","0.734","-","1.05"
"2021/01/01","03:00","0.845","-","1.25"
"2021/01/01","04:00","0.656","-","0.98"
"2021/01/01","05:00","0.176","-","0.47"
"2021/01/01","06:00","-0.397","-","-0.02"
"2021/01/01","07:00","-0.861","-","-0.46"
"2021/01/01","08:00","-1.17","-","-0.85"
"2021/01/01","09:00","-1.326","-","-1.07"
"2021/01/01","10:00","-1.247","-","-1.02"
"2021/01/01","11:00","-0.877","-","-0.71"
"2021/01/01","12:00","-0.326","-","-0.17"
"2021/01/01","13:00","0.226","-","0.31"
"2021/01/01","14:00","0.678","-","0.72"
"2021/01/01","15:00","0.969","-","0.97"
"2021/01/01","16:00","0.983","-","1.02"
"2021/01/01","17:00","0.653","-","0.64"
"2021/01/01","18:00","0.115","-","0.11"
"2021/01/01","19:00","-0.39","-","-0.3"
"2021/01/01","20:00","-0.746","-","-0.71"
"2021/01/01","21:00","-0.96","-","-0.99"
"2021/01/01","22:00","-0.992","-","-1.04"
"2021/01/01","23:00","-0.765","-","-0.82"
"2021/01/02","00:00","-0.323","-","-0.35"
"2021/01/02","01:00","0.157","-","0.06"
"2021/01/02","02:00","0.541","-","0.36"
"2021/01/02","03:00","0.785","-","0.63"
"2021/01/02","04:00","0.82","-","0.67"
"2021/01/02","05:00","0.55","-","0.37"
"2021/01/02","06:00","0.025","-","-0.08"
"2021/01/02","07:00","-0.534","-","-0.5"
"2021/01/02","08:00","-0.952","-","-0.92"
"2021/01/02","09:00","-1.211","-","-1.23"
"2021/01/02","10:00","-1.305","-","-1.34"
"2021/01/02","11:00","-1.15","-","-1.18"
"2021/01/02","12:00","-0.716","-","-0.74"
"2021/01/02","13:00","-0.145","-","-0.21"
"2021/01/02","14:00","0.381","-","0.29"
"2021/01/02","15:00","0.775","-","0.66"
"2021/01/02","16:00","0.979","-","0.9"
"2021/01/02","17:00","0.889","-","0.79"
"2021/01/02","18:00","0.479","-","0.29"
"2021/01/02","19:00","-0.078","-","-0.19"
"2021/01/02","20:00","-0.554","-","-0.55"
"2021/01/02","21:00","-0.866","-","-0.89"
"2021/01/02","22:00","-1.03","-","-1.06"
"2021/01/02","23:00","-0.998","-","-1.08"
"2021/01/03","00:00","-0.703","-","-0.8"
"2021/01/03","01:00","-0.224","-","-0.31"
"2021/01/03","02:00","0.25","-","0.06"
"2021/01/03","03:00","0.603","-","0.37"
"2021/01/03","04:00","0.801","-","0.59"
"2021/01/03","05:00","0.774","-","0.55"
"2021/01/03","06:00","0.448","-","0.18"
"2021/01/03","07:00","-0.091","-","-0.31"
"2021/01/03","08:00","-0.618","-","-0.73"
"2021/01/03","09:00","-0.988","-","-1.08"
"2021/01/03","10:00","-1.203","-","-1.32"
