"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2023/09/01","00:00","0.782","0.76","-"
"2023/09/01","00:06","0.844","0.85","-"
"2023/09/01","00:12","0.905","0.95","-"
"2023/09/01","00:18","0.966","1.04","-"
"2023/09/01","00:24","1.024","1.09","-"
"2023/09/01","00:30","1.082","1.13","-"
"2023/09/01","00:36","1.137","1.19","-"
"2023/09/01","00:42","1.191","1.26","-"
"2023/09/01","00:48","1.243","1.34","-"
"2023/09/01","00:54","1.292","1.38","-"
"2023/09/01","01:00","1.34","1.43","-"
"2023/09/01","01:06","1.384","1.48","-"
"2023/09/01","01:12","1.426","1.53","-"
"2023/09/01","01:18","1.464","1.55","-"
"2023/09/01","01:24","1.5","1.6","-"
"2023/09/01","01:30","1.532","1.64","-"
"2023/09/01","01:36","1.56","1.71","-"
"2023/09/01","01:42","1.584","1.75","-"
"2023/09/01","01:48","1.604","1.76","-"
"2023/09/01","01:54","1.621","1.79","-"
"2023/09/01","02:00","1.632","1.8","-"
"2023/09/01","02:06","1.64","1.83","-"
"2023/09/01","02:12","1.643","1.83","-"
"2023/09/01","02:18","1.641","1.84","-"
"2023/09/01","02:24","1.635","1.86","-"
"2023/09/01","02:30","1.624","1.85","-"
"2023/09/01","02:36","1.609","1.86","-"
"2023/09/01","02:42","1.589","1.86","-"
"2023/09/01","02:48","1.565","1.83","-"
"2023/09/01","02:54","1.536","1.81","-"
"2023/09/01","03:00","1.503","1.77","-"
"2023/09/01","03:06","1.466","1.77","-"
"2023/09/01","03:12","1.426","1.73","-"
"2023/09/01","03:18","1.381","1.67","-"
"2023/09/01","03:24","1.334","1.59","-"
"2023/09/01","03:30","1.283","1.55","-"
"2023/09/01","03:36","1.229","1.5","-"
"2023/09/01","03:42","1.172","1.43","-"
"2023/09/01","03:48","1.114","1.36","-"
"2023/09/01","03:54","1.053","1.3","-"
"2023/09/01","04:00","0.99","1.25","-"
"2023/09/01","04:06","0.926","1.19","-"
"2023/09/01","04:12","0.861","1.14","-"
"2023/09/01","04:18","0.794","1.03","-"
"2023/09/01","04:24","0.727","0.95","-"
"2023/09/01","04:30","0.66","0.89","-"
"2023/09/01","04:36","0.592","0.84","-"
"2023/09/01","04:42","0.524","0.76","-"
"2023/09/01","04:48","0.456","0.66","-"
"2023/09/01","04:54","0.388","0.59","-"
"2023/09/01","05:00","0.321","0.55","-"
"2023/09/01","05:06","0.255","0.53","-"
"2023/09/01","05:12","0.189","0.43","-"
"2023/09/01","05:18","0.124","0.39","-"
"2023/09/01","05:24","0.06","0.31","-"
"2023/09/01","05:30","-0.004","0.28","-"
"2023/09/01","05:36","-0.066","0.21","-"
"2023/09/01","05:42","-0.127","0.14","-"
"2023/09/01","05:48","-0.188","0.08","-"
"2023/09/01","05:54","-0.247","0.03","-"
"2023/09/01","06:00","-0.305","-0.02","-"
"2023/09/01","06:06","-0.362","-0.07","-"
"2023/09/01","06:12","-0.417","-0.12","-"
"2023/09/01","06:18","-0.472","-0.17","-"
"2023/09/01","06:24","-0.525","-0.23","-"
"2023/09/01","06:30","-0.576","-0.28","-"
"2023/09/01","06:36","-0.627","-0.33","-"
"2023/09/01","06:42","-0.676","-0.37","-"
"2023/09/01","06:48","-0.723","-0.43","-"
"2023/09/01","06:54","-0.768","-0.48","-"
"2023/09/01","07:00","-0.812","-0.52","-"
"2023/09/01","07:06","-0.854","-0.57","-"
"2023/09/01","07:12","-0.894","-0.62","-"
"2023/09/01","07:18","-0.932","-0.66","-"
"2023/09/01","07:24","-0.967","-0.7","-"
"2023/09/01","07:30","-1","-0.73","-"
"2023/09/01","07:36","-1.031","-0.75","-"
"2023/09/01","07:42","-1.058","-0.78","-"
"2023/09/01","07:48","-1.083","-0.81","-"
"2023/09/01","07:54","-1.105","-0.84","-"
"2023/09/01","08:00","-1.123","-0.85","-"
"2023/09/01","08:06","-1.138","-0.9","-"
"2023/09/01","08:12","-1.15","-0.92","-"
"2023/09/01","08:18","-1.157","-0.92","-"
"2023/09/01","08:24","-1.162","-0.91","-"
"2023/09/01","08:30","-1.162","-0.93","-"
"2023/09/01","08:36","-1.159","-0.94","-"
"2023/09/01","08:42","-1.152","-0.94","-"
"2023/09/01","08:48","-1.141","-0.93","-"
"2023/09/01","08:54","-1.126","-0.91","-"
"2023/09/01","09:00","-1.107","-0.88","-"
"2023/09/01","09:06","-1.084","-0.86","-"
"2023/09/01","09:12","-1.058","-0.84","-"
"2023/09/01","09:18","-1.028","-0.81","-"
"2023/09/01","09:24","-0.994","-0.78","-"
"2023/09/01","09:30","-0.958","-0.75","-"
"2023/09/01","09:36","-0.918","-0.68","-"
"2023/09/01","09:42","-0.874","-0.66","-"
"2023/09/01","09:48","-0.829","-0.6","-"
"2023/09/01","09:54","-0.78","-0.51","-"
"2023/09/01","10:00","-0.729","-0.48","-"
"2023/09/01","10:06","-0.675","-0.41","-"
"2023/09/01","10:12","-0.62","-0.39","-"
"2023/09/01","10:18","-0.563","-0.32","-"
"2023/09/01","10:24","-0.504","-0.26","-"
"2023/09/01","10:30","-0.443","-0.2","-"
"2023/09/01","10:36","-0.381","-0.13","-"
"2023/09/01","10:42","-0.318","-0.07","-"
"2023/09/01","10:48","-0.255","0.01","-"
"2023/09/01","10:54","-0.19","0.1","-"
"2023/09/01","11:00","-0.125","0.15","-"
"2023/09/01","11:06","-0.059","0.21","-"
"2023/09/01","11:12","0.007","0.29","-"
"2023/09/01","11:18","0.073","0.35","-"
"2023/09/01","11:24","0.139","0.41","-"
"2023/09/01","11:30","0.206","0.47","-"
"2023/09/01","11:36","0.272","0.53","-"
"2023/09/01","11:42","0.338","0.59","-"
"2023/09/01","11:48","0.404","0.66","-"
"2023/09/01","11:54","0.47","0.72","-"
"2023/09/01","12:00","0.535","0.77","-"
"2023/09/01","12:06","0.599","0.82","-"
"2023/09/01","12:12","0.663","0.86","-"
"2023/09/01","12:18","0.727","0.92","-"
"2023/09/01","12:24","0.79","0.98","-"
"2023/09/01","12:30","0.851","1.03","-"
"2023/09/01","12:36","0.912","1.09","-"
"2023/09/01","12:42","0.972","1.14","-"
"2023/09/01","12:48","1.031","1.18","-"
"2023/09/01","12:54","1.088","1.24","-"
"2023/09/01","13:00","1.144","1.29","-"
"2023/09/01","13:06","1.198","1.34","-"
"2023/09/01","13:12","1.25","1.39","-"
"2023/09/01","13:18","1.3","1.43","-"
"2023/09/01","13:24","1.348","1.47","-"
"2023/09/01","13:30","1.393","1.52","-"
"2023/09/01","13:36","1.435","1.56","-"
"2023/09/01","13:42","1.475","1.6","-"
"2023/09/01","13:48","1.512","1.65","-"
"2023/09/01","13:54","1.545","1.68","-"
"2023/09/01","14:00","1.575","1.71","-"
"2023/09/01","14:06","1.601","1.74","-"
"2023/09/01","14:12","1.623","1.76","-"
"2023/09/01","14:18","1.642","1.78","-"
"2023/09/01","14:24","1.656","1.81","-"
"2023/09/01","14:30","1.665","1.83","-"
"2023/09/01","14:36","1.671","1.84","-"
"2023/09/01","14:42","1.672","1.84","-"
"2023/09/01","14:48","1.668","1.84","-"
"2023/09/01","14:54","1.66","1.85","-"
"2023/09/01","15:00","1.647","1.86","-"
"2023/09/01","15:06","1.63","1.84","-"
"2023/09/01","15:12","1.609","1.83","-"
"2023/09/01","15:18","1.583","1.8","-"
"2023/09/01","15:24","1.553","1.77","-"
"2023/09/01","15:30","1.519","1.74","-"
"2023/09/01","15:36","1.481","1.68","-"
"2023/09/01","15:42","1.439","1.65","-"
"2023/09/01","15:48","1.394","1.59","-"
"2023/09/01","15:54","1.346","1.52","-"
"2023/09/01","16:00","1.295","1.44","-"
"2023/09/01","16:06","1.241","1.38","-"
"2023/09/01","16:12","1.184","1.31","-"
"2023/09/01","16:18","1.126","1.26","-"
"2023/09/01","16:24","1.065","1.2","-"
"2023/09/01","16:30","1.003","1.12","-"
"2023/09/01","16:36","0.939","1.05","-"
"2023/09/01","16:42","0.874","0.97","-"
"2023/09/01","16:48","0.809","0.9","-"
"2023/09/01","16:54","0.742","0.82","-"
"2023/09/01","17:00","0.676","0.75","-"
"2023/09/01","17:06","0.609","0.68","-"
"2023/09/01","17:12","0.542","0.61","-"
"2023/09/01","17:18","0.475","0.55","-"
"2023/09/01","17:24","0.408","0.5","-"
"2023/09/01","17:30","0.342","0.45","-"
"2023/09/01","17:36","0.276","0.39","-"
"2023/09/01","17:42","0.211","0.33","-"
"2023/09/01","17:48","0.146","0.27","-"
"2023/09/01","17:54","0.082","0.22","-"
"2023/09/01","18:00","0.019","0.16","-"
"2023/09/01","18:06","-0.043","0.12","-"
"2023/09/01","18:12","-0.104","0.07","-"
"2023/09/01","18:18","-0.164","0.02","-"
"2023/09/01","18:24","-0.224","-0.04","-"
"2023/09/01","18:30","-0.282","-0.08","-"
"2023/09/01","18:36","-0.339","-0.13","-"
"2023/09/01","18:42","-0.395","-0.18","-"
"2023/09/01","18:48","-0.45","-0.23","-"
"2023/09/01","18:54","-0.504","-0.29","-"
"2023/09/01","19:00","-0.557","-0.35","-"
"2023/09/01","19:06","-0.608","-0.4","-"
"2023/09/01","19:12","-0.657","-0.45","-"
"2023/09/01","19:18","-0.705","-0.49","-"
"2023/09/01","19:24","-0.752","-0.54","-"
"2023/09/01","19:30","-0.797","-0.59","-"
"2023/09/01","19:36","-0.839","-0.63","-"
"2023/09/01","19:42","-0.88","-0.67","-"
"2023/09/01","19:48","-0.918","-0.69","-"
"2023/09/01","19:54","-0.954","-0.73","-"
"2023/09/01","20:00","-0.987","-0.76","-"
"2023/09/01","20:06","-1.018","-0.8","-"
"2023/09/01","20:12","-1.045","-0.83","-"
"2023/09/01","20:18","-1.07","-0.84","-"
"2023/09/01","20:24","-1.091","-0.87","-"
"2023/09/01","20:30","-1.109","-0.9","-"
"2023/09/01","20:36","-1.123","-0.93","-"
"2023/09/01","20:42","-1.134","-0.94","-"
"2023/09/01","20:48","-1.141","-0.95","-"
"2023/09/01","20:54","-1.144","-0.94","-"
"2023/09/01","21:00","-1.143","-0.94","-"
"2023/09/01","21:06","-1.138","-0.93","-"
"2023/09/01","21:12","-1.129","-0.91","-"
"2023/09/01","21:18","-1.116","-0.91","-"
"2023/09/01","21:24","-1.099","-0.91","-"
"2023/09/01","21:30","-1.078","-0.88","-"
"2023/09/01","21:36","-1.053","-0.86","-"
"2023/09/01","21:42","-1.025","-0.84","-"
"2023/09/01","21:48","-0.993","-0.79","-"
"2023/09/01","21:54","-0.957","-0.76","-"
"2023/09/01","22:00","-0.918","-0.7","-"
"2023/09/01","22:06","-0.875","-0.65","-"
"2023/09/01","22:12","-0.83","-0.61","-"
"2023/09/01","22:18","-0.781","-0.57","-"
"2023/09/01","22:24","-0.73","-0.51","-"
"2023/09/01","22:30","-0.677","-0.45","-"
"2023/09/01","22:36","-0.621","-0.4","-"
"2023/09/01","22:42","-0.564","-0.34","-"
"2023/09/01","22:48","-0.504","-0.28","-"
"2023/09/01","22:54","-0.443","-0.2","-"
"2023/09/01","23:00","-0.381","-0.15","-"
"2023/09/01","23:06","-0.317","-0.08","-"
"2023/09/01","23:12","-0.252","0.01","-"
"2023/09/01","23:18","-0.187","0.09","-"
"2023/09/01","23:24","-0.121","0.16","-"
"2023/09/01","23:30","-0.054","0.23","-"
"2023/09/01","23:36","0.013","0.26","-"
"2023/09/01","23:42","0.08","0.33","-"
"2023/09/01","23:48","0.147","0.41","-"
