time,windspeed_10m_max (mp/h),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2021-01-01,19.8,14.43,3.33
2021-01-02,16.7,12.51,2.95
2021-01-03,11.9,13.20,3.34
2021-01-04,10.3,9.00,2.16
2021-01-05,12.5,16.54,4.09
2021-01-06,8.3,16.29,3.34
2021-01-07,12.0,14.77,3.44
2021-01-08,16.4,10.92,2.93
2021-01-09,14.5,15.85,3.52
2021-01-10,13.2,15.00,3.13
2021-01-11,14.4,13.15,3.55
2021-01-12,9.4,8.07,1.82
2021-01-13,13.8,11.63,2.38
2021-01-14,13.8,10.06,1.83
2021-01-15,11.3,12.83,2.54
2021-01-16,17.9,14.93,3.70
2021-01-17,9.5,13.99,2.92
2021-01-18,8.7,12.70,2.79
2021-01-19,12.2,15.55,3.80
2021-01-20,13.4,16.34,3.75
2021-01-21,7.2,16.44,3.42
2021-01-22,7.1,14.73,2.89
2021-01-23,6.7,16.79,3.07
2021-01-24,7.5,13.53,2.58
2021-01-25,12.8,12.40,2.71
2021-01-26,10.5,17.11,3.56
2021-01-27,8.3,15.49,3.29
2021-01-28,19.9,16.30,3.95
2021-01-29,16.2,11.35,3.53
2021-01-30,13.4,11.91,3.64
2021-01-31,15.0,11.06,4.13
2021-02-01,23.8,12.95,3.64
2021-02-02,20.6,17.22,4.40
2021-02-03,17.2,19.32,4.10
2021-02-04,9.2,19.04,3.92
2021-02-05,12.3,15.24,3.88
2021-02-06,13.9,9.75,2.23
2021-02-07,13.6,14.96,2.93
2021-02-08,9.8,13.94,2.63
2021-02-09,11.0,16.76,3.12
2021-02-10,11.2,17.24,3.39
2021-02-11,12.1,16.16,3.44
2021-02-12,13.0,15.14,3.23
2021-02-13,14.9,16.47,3.36
2021-02-14,13.9,17.05,3.54
2021-02-15,15.7,16.90,3.50
2021-02-16,15.6,11.72,2.29
2021-02-17,13.5,16.37,3.13
2021-02-18,16.1,17.27,3.69
2021-02-19,14.7,15.25,3.09
2021-02-20,18.9,14.20,3.58
2021-02-21,20.4,14.31,4.53
2021-02-22,17.8,15.97,3.82
2021-02-23,12.9,13.98,3.03
2021-02-24,10.8,15.96,3.13
2021-02-25,7.4,17.85,3.36
2021-02-26,11.1,19.07,3.81
2021-02-27,14.2,19.73,4.26
2021-02-28,17.2,16.42,4.05
2021-03-01,15.0,17.33,3.99
2021-03-02,9.4,17.57,3.70
2021-03-03,16.8,17.81,4.59
2021-03-04,14.2,22.09,4.63
2021-03-05,11.8,22.42,5.09
2021-03-06,14.4,12.66,3.34
2021-03-07,21.3,19.98,3.97
2021-03-08,20.7,10.50,4.11
2021-03-09,19.5,11.59,4.62
2021-03-10,20.1,15.38,4.80
2021-03-11,18.6,16.49,4.35
2021-03-12,14.7,16.87,5.10
2021-03-13,12.3,18.66,4.54
2021-03-14,9.5,17.00,3.91
2021-03-15,10.9,21.54,4.57
2021-03-16,15.0,20.42,4.85
2021-03-17,14.7,19.75,4.82
2021-03-18,18.2,17.67,4.11
2021-03-19,14.3,19.49,4.33
2021-03-20,15.5,21.08,4.64
2021-03-21,15.2,20.12,4.58
2021-03-22,12.8,21.03,4.34
2021-03-23,10.2,21.43,4.48
2021-03-24,10.3,20.13,4.43
2021-03-25,14.5,21.74,4.46
2021-03-26,14.5,22.92,4.75
2021-03-27,12.9,22.34,4.80
2021-03-28,16.2,19.85,4.82
2021-03-29,8.4,19.27,3.96
2021-03-30,13.2,21.58,4.78
2021-03-31,13.1,22.27,4.89
2021-04-01,20.1,20.56,4.13
2021-04-02,21.7,24.98,6.06
2021-04-03,18.9,13.81,4.83
2021-04-04,15.4,15.69,4.66
2021-04-05,15.3,21.08,5.11
2021-04-06,13.4,19.87,4.72
2021-04-07,12.5,25.16,5.44
2021-04-08,12.1,25.02,5.63
2021-04-09,14.8,24.77,5.44
2021-04-10,16.7,24.44,5.63
2021-04-11,16.9,16.19,3.41
2021-04-12,12.5,16.30,3.34
2021-04-13,7.8,27.67,5.65
2021-04-14,13.1,26.57,5.05
2021-04-15,11.2,25.85,5.26
2021-04-16,10.7,25.89,5.16
2021-04-17,11.6,26.49,5.63
2021-04-18,12.5,22.81,4.81
2021-04-19,14.7,21.94,4.86
2021-04-20,17.8,17.55,3.81
2021-04-21,9.5,11.70,2.48
2021-04-22,9.9,16.88,3.66
2021-04-23,14.3,20.73,4.29
2021-04-24,16.6,22.51,4.93
2021-04-25,12.6,23.76,5.22
2021-04-26,14.9,23.56,5.02
2021-04-27,17.4,22.60,5.65
2021-04-28,13.8,23.16,5.35
2021-04-29,13.5,22.96,5.03
2021-04-30,9.7,22.07,4.87
2021-05-01,9.9,22.77,4.94
2021-05-02,11.7,22.68,4.99
2021-05-03,14.4,24.57,5.76
2021-05-04,13.6,24.57,5.48
2021-05-05,10.7,24.70,5.35
2021-05-06,13.2,24.08,5.17
2021-05-07,11.8,23.14,4.86
2021-05-08,14.6,19.84,4.26
2021-05-09,13.1,21.44,4.43
2021-05-10,11.5,24.42,5.37
2021-05-11,10.2,24.06,5.15
2021-05-12,10.4,22.93,5.02
2021-05-13,10.0,20.10,4.25
2021-05-14,11.0,14.07,3.20
2021-05-15,17.8,23.48,5.09
2021-05-16,16.1,22.07,5.12
2021-05-17,14.3,22.86,5.42
2021-05-18,18.4,21.27,6.07
2021-05-19,21.8,20.09,5.41
2021-05-20,22.0,21.94,5.66
2021-05-21,20.5,20.43,6.64
2021-05-22,18.7,23.19,6.41
2021-05-23,14.3,23.01,5.75
2021-05-24,14.8,27.55,6.25
2021-05-25,12.7,26.65,6.43
2021-05-26,12.2,26.50,6.13
2021-05-27,9.4,25.70,5.66
2021-05-28,10.8,25.25,5.38
2021-05-29,12.0,25.92,5.86
2021-05-30,11.4,22.91,4.72
2021-05-31,13.2,19.23,3.82
2021-06-01,12.0,20.35,3.99
2021-06-02,12.2,19.19,3.92
2021-06-03,13.2,20.66,4.10
2021-06-04,12.1,23.84,4.79
2021-06-05,12.3,25.74,5.51
2021-06-06,14.5,24.71,5.33
2021-06-07,14.4,26.36,5.97
2021-06-08,13.8,24.53,5.63
2021-06-09,11.7,25.71,5.98
2021-06-10,10.9,24.93,5.73
2021-06-11,11.9,22.27,5.17
2021-06-12,11.9,20.96,4.57
2021-06-13,11.9,19.93,4.26
2021-06-14,12.6,15.65,3.45
2021-06-15,12.3,17.29,3.75
2021-06-16,6.1,14.28,3.06
2021-06-17,10.1,13.76,3.16
2021-06-18,11.8,23.26,4.95
2021-06-19,10.5,23.60,5.19
2021-06-20,10.4,15.64,3.40
2021-06-21,11.5,17.87,3.89
2021-06-22,14.4,23.22,5.04
2021-06-23,10.0,20.44,4.26
2021-06-24,10.8,17.85,3.73
2021-06-25,13.7,20.76,4.29
2021-06-26,11.2,20.19,4.25
2021-06-27,12.4,22.91,4.86
