day,month,year,daily_high_temperature
1.0,1.0,2015.0,78.5
1.0,1.0,2016.0,82.0
1.0,1.0,2017.0,79.4
1.0,1.0,2018.0,77.8
1.0,1.0,2019.0,79.6
1.0,1.0,2020.0,76.4
1.0,1.0,2021.0,79.4
1.0,1.0,2022.0,80.6
1.0,1.0,2023.0,79.8
1.0,2.0,2015.0,73.6
1.0,2.0,2016.0,76.5
1.0,2.0,2017.0,75.2
1.0,2.0,2018.0,74.6
1.0,2.0,2019.0,76.5
1.0,2.0,2020.0,78.8
1.0,2.0,2021.0,73.9
1.0,2.0,2022.0,71.8
1.0,2.0,2023.0,81.6
1.0,3.0,2015.0,79.9
1.0,3.0,2016.0,77.6
1.0,3.0,2017.0,80.4
1.0,3.0,2018.0,82.7
1.0,3.0,2019.0,79.6
1.0,3.0,2020.0,72.9
1.0,3.0,2021.0,82.1
1.0,3.0,2022.0,77.9
1.0,3.0,2023.0,83.0
1.0,4.0,2015.0,81.4
1.0,4.0,2016.0,84.5
1.0,4.0,2017.0,85.3
1.0,4.0,2018.0,79.6
1.0,4.0,2019.0,82.0
1.0,4.0,2020.0,87.5
1.0,4.0,2021.0,83.5
1.0,4.0,2022.0,85.5
1.0,4.0,2023.0,82.9
1.0,5.0,2015.0,81.2
1.0,5.0,2016.0,84.2
1.0,5.0,2017.0,82.8
1.0,5.0,2018.0,79.2
1.0,5.0,2019.0,81.4
1.0,5.0,2020.0,82.0
1.0,5.0,2021.0,87.0
1.0,5.0,2022.0,81.3
1.0,5.0,2023.0,82.5
1.0,6.0,2015.0,86.1
1.0,6.0,2016.0,85.3
1.0,6.0,2017.0,87.2
1.0,6.0,2018.0,83.7
1.0,6.0,2019.0,89.0
1.0,6.0,2020.0,86.2
1.0,6.0,2021.0,80.3
1.0,6.0,2022.0,85.7
1.0,6.0,2023.0,84.8
1.0,7.0,2015.0,89.3
1.0,7.0,2016.0,86.9
1.0,7.0,2017.0,87.5
1.0,7.0,2018.0,84.5
1.0,7.0,2019.0,88.7
1.0,7.0,2020.0,89.1
1.0,7.0,2021.0,82.6
1.0,7.0,2022.0,86.5
1.0,7.0,2023.0,85.0
1.0,8.0,2015.0,91.1
1.0,8.0,2016.0,87.5
1.0,8.0,2017.0,86.4
1.0,8.0,2018.0,85.5
1.0,8.0,2019.0,85.1
1.0,8.0,2020.0,86.0
1.0,8.0,2021.0,88.0
1.0,8.0,2022.0,88.2
1.0,8.0,2023.0,88.2
1.0,9.0,2015.0,88.6
1.0,9.0,2016.0,87.1
1.0,9.0,2017.0,87.2
1.0,9.0,2018.0,85.2
1.0,9.0,2019.0,87.1
1.0,9.0,2020.0,88.8
1.0,9.0,2021.0,88.4
1.0,9.0,2022.0,88.0
1.0,9.0,2023.0,90.1
1.0,10.0,2015.0,88.9
1.0,10.0,2016.0,85.3
1.0,10.0,2017.0,86.4
1.0,10.0,2018.0,86.2
1.0,10.0,2019.0,83.5
1.0,10.0,2020.0,85.5
1.0,10.0,2021.0,82.9
1.0,10.0,2022.0,82.2
1.0,11.0,2015.0,84.8
1.0,11.0,2016.0,80.0
1.0,11.0,2017.0,78.3
1.0,11.0,2018.0,82.9
1.0,11.0,2019.0,85.5
1.0,11.0,2020.0,82.2
1.0,11.0,2021.0,78.4
1.0,11.0,2022.0,84.5
1.0,12.0,2015.0,79.7
1.0,12.0,2016.0,82.1
1.0,12.0,2017.0,78.7
1.0,12.0,2018.0,81.1
1.0,12.0,2019.0,82.6
1.0,12.0,2020.0,67.6
1.0,12.0,2021.0,76.5
1.0,12.0,2022.0,77.4
2.0,1.0,2015.0,80.5
2.0,1.0,2016.0,80.1
2.0,1.0,2017.0,79.6
2.0,1.0,2018.0,69.7
2.0,1.0,2019.0,79.8
2.0,1.0,2020.0,79.2
2.0,1.0,2021.0,79.2
2.0,1.0,2022.0,81.1
2.0,1.0,2023.0,79.3
2.0,2.0,2015.0,81.0
2.0,2.0,2016.0,78.3
2.0,2.0,2017.0,77.2
2.0,2.0,2018.0,78.2
2.0,2.0,2019.0,77.1
2.0,2.0,2020.0,66.3
2.0,2.0,2021.0,64.7
2.0,2.0,2022.0,74.5
2.0,2.0,2023.0,81.0
2.0,3.0,2015.0,79.4
2.0,3.0,2016.0,81.4
2.0,3.0,2017.0,83.4
2.0,3.0,2018.0,85.2
2.0,3.0,2019.0,81.9
2.0,3.0,2020.0,74.7
2.0,3.0,2021.0,81.9
2.0,3.0,2022.0,75.7
2.0,3.0,2023.0,81.6
2.0,4.0,2015.0,81.2
2.0,4.0,2016.0,87.1
2.0,4.0,2017.0,81.2
2.0,4.0,2018.0,81.1
2.0,4.0,2019.0,83.9
2.0,4.0,2020.0,80.1
2.0,4.0,2021.0,75.5
2.0,4.0,2022.0,83.5
2.0,4.0,2023.0,84.6
2.0,5.0,2015.0,78.6
2.0,5.0,2016.0,84.6
