Unnamed: 0,temperature_2m,relativehumidity_2m,dewpoint_2m,precipitation,pressure_msl,surface_pressure,cloudcover,et0_fao_evapotranspiration,windspeed_10m,shortwave_radiation,time_local,year,month,day,temp(f),tide(ft),pm2.5 (ug/m3),ozone (ppm),forecast_temp(f),forecast_relativehumidity_2m,forecast_dewpoint_2m,forecast_precipitation,forecast_windspeed_10m,forecast_shortwave_radiation
70191.0,79.4,70.0,69.0,0.0,1019.4,1019.2,41.0,0.015,11.5,564.0,15.0,2023.0,1.0,3.0,75.0,0.289,5.1,0.029,79.4,69.0,68.3,0.0,13.9,585.0
70192.0,79.3,70.0,68.9,0.0,1018.8,1018.6,43.0,0.013,10.5,461.0,16.0,2023.0,1.0,3.0,74.7,-0.092,4.9,0.029,79.1,70.0,68.5,0.004,13.1,487.0
70193.0,78.9,71.0,68.8,0.0,1018.8,1018.6,44.0,0.01,9.8,339.0,17.0,2023.0,1.0,3.0,74.8,-0.361,5.0,0.024,78.8,72.0,69.0,0.004,12.3,284.0
70194.0,77.8,75.0,69.3,0.0,1019.1,1018.9,44.0,0.005,7.1,166.0,18.0,2023.0,1.0,3.0,75.0,-0.371,5.0,0.02,78.5,71.0,68.3,0.004,12.4,161.0
70195.0,76.1,80.0,69.6,0.0,1018.8,1018.6,42.0,0.002,6.6,24.0,19.0,2023.0,1.0,3.0,75.2,-0.125,4.9,0.021,78.0,72.0,68.3,0.0,10.3,22.0
70196.0,74.8,84.0,69.8,0.0,1019.5,1019.3,30.0,0.001,6.9,0.0,20.0,2023.0,1.0,3.0,75.7,0.302,4.9,0.022,77.9,74.0,68.9,0.0,10.1,0.0
70197.0,74.3,86.0,69.9,0.0,1019.9,1019.7,22.0,0.001,7.6,0.0,21.0,2023.0,1.0,3.0,75.7,0.646,4.9,0.022,77.8,74.0,68.8,0.0,10.6,0.0
70198.0,73.9,87.0,69.8,0.0,1019.9,1019.7,10.0,0.001,8.9,0.0,22.0,2023.0,1.0,3.0,76.3,0.961,4.6,0.023,77.7,75.0,69.1,0.0,9.7,0.0
70199.0,73.8,87.0,69.8,0.0,1020.5,1020.3,16.0,0.001,10.2,0.0,23.0,2023.0,1.0,3.0,76.8,1.184,4.5,0.024,77.6,74.0,68.6,0.0,10.6,0.0
70200.0,73.9,87.0,69.8,0.0,1020.2,1020.0,19.0,0.001,11.4,0.0,0.0,2023.0,1.0,4.0,76.8,1.152,4.6,0.024,77.6,73.0,68.2,0.0,11.6,0.0
70201.0,74.2,86.0,69.9,0.0,1020.0,1019.8,18.0,0.001,12.8,0.0,1.0,2023.0,1.0,4.0,76.6,0.843,4.8,0.024,77.5,73.0,68.2,0.0,11.7,0.0
70202.0,74.1,86.0,69.8,0.0,1019.3,1019.1,32.0,0.001,13.7,0.0,2.0,2023.0,1.0,4.0,76.5,0.413,5.1,0.023,76.8,76.0,68.6,0.0,12.2,0.0
70203.0,74.5,84.0,69.3,0.0,1019.3,1019.1,23.0,0.001,13.1,0.0,3.0,2023.0,1.0,4.0,75.9,0.013,5.3,0.024,76.4,79.0,69.4,0.0,13.9,0.0
70204.0,74.1,84.0,69.1,0.0,1019.0,1018.8,18.0,0.001,13.0,0.0,4.0,2023.0,1.0,4.0,75.2,-0.361,4.9,0.024,76.5,80.0,69.9,0.0,14.2,0.0
70205.0,74.0,85.0,69.1,0.0,1019.2,1019.0,21.0,0.001,12.0,0.0,5.0,2023.0,1.0,4.0,75.0,-0.643,5.0,0.024,76.6,79.0,69.6,0.0,12.2,0.0
70206.0,73.9,85.0,69.0,0.0,1019.5,1019.3,23.0,0.001,11.1,0.0,6.0,2023.0,1.0,4.0,74.8,-0.735,5.1,0.022,76.4,78.0,69.0,0.0,11.2,0.0
