Unnamed: 0,time_local,year,month,day,forecast_temp(f),forecast_relativehumidity_2m,forecast_dewpoint_2m,forecast_precipitation,forecast_windspeed_10m,forecast_shortwave_radiation
0,0,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
3,3,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
4,4,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
5,5,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
6,6,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
7,7,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
8,8,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
9,9,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
10,10,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
11,11,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
12,12,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
13,13,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
14,14,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
15,15,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
16,16,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
17,17,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
18,18,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
19,19,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
20,20,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
21,21,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
22,22,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
23,23,2015,1,1,0.0,0.0,0.0,0.0,0.0,0.0
24,0,2015,1,2,0.0,0.0,0.0,0.0,0.0,0.0
25,1,2015,1,2,0.0,0.0,0.0,0.0,0.0,0.0
26,2,2015,1,2,0.0,0.0,0.0,0.0,0.0,0.0
27,3,2015,1,2,0.0,0.0,0.0,0.0,0.0,0.0
28,4,2015,1,2,0.0,0.0,0.0,0.0,0.0,0.0
29,5,2015,1,2,0.0,0.0,0.0,0.0,0.0,0.0
30,6,2015,1,2,0.0,0.0,0.0,0.0,0.0,0.0
31,7,2015,1,2,0.0,0.0,0.0,0.0,0.0,0.0
32,8,2015,1,2,0.0,0.0,0.0,0.0,0.0,0.0
33,9,2015,1,2,0.0,0.0,0.0,0.0,0.0,0.0
34,10,2015,1,2,0.0,0.0,0.0,0.0,0.0,0.0
35,11,2015,1,2,0.0,0.0,0.0,0.0,0.0,0.0
36,12,2015,1,2,0.0,0.0,0.0,0.0,0.0,0.0
37,13,2015,1,2,0.0,0.0,0.0,0.0,0.0,0.0
38,14,2015,1,2,0.0,0.0,0.0,0.0,0.0,0.0
39,15,2015,1,2,0.0,0.0,0.0,0.0,0.0,0.0
40,16,2015,1,2,0.0,0.0,0.0,0.0,0.0,0.0
41,17,2015,1,2,0.0,0.0,0.0,0.0,0.0,0.0
