,temperature_2m,relativehumidity_2m,dewpoint_2m,precipitation,windspeed_10m,shortwave_radiation,time_local,year,month,day
0,,,,,,,00,2015,01,01
1,,,,,,,01,2015,01,01
2,,,,,,,02,2015,01,01
3,,,,,,,03,2015,01,01
4,,,,,,,04,2015,01,01
5,,,,,,,05,2015,01,01
6,,,,,,,06,2015,01,01
7,,,,,,,07,2015,01,01
8,,,,,,,08,2015,01,01
9,,,,,,,09,2015,01,01
10,,,,,,,10,2015,01,01
11,,,,,,,11,2015,01,01
12,,,,,,,12,2015,01,01
13,,,,,,,13,2015,01,01
14,,,,,,,14,2015,01,01
15,,,,,,,15,2015,01,01
16,,,,,,,16,2015,01,01
17,,,,,,,17,2015,01,01
18,,,,,,,18,2015,01,01
19,,,,,,,19,2015,01,01
20,,,,,,,20,2015,01,01
21,,,,,,,21,2015,01,01
22,,,,,,,22,2015,01,01
23,,,,,,,23,2015,01,01
24,,,,,,,00,2015,01,02
25,,,,,,,01,2015,01,02
26,,,,,,,02,2015,01,02
27,,,,,,,03,2015,01,02
28,,,,,,,04,2015,01,02
29,,,,,,,05,2015,01,02
30,,,,,,,06,2015,01,02
31,,,,,,,07,2015,01,02
32,,,,,,,08,2015,01,02
33,,,,,,,09,2015,01,02
34,,,,,,,10,2015,01,02
35,,,,,,,11,2015,01,02
36,,,,,,,12,2015,01,02
37,,,,,,,13,2015,01,02
38,,,,,,,14,2015,01,02
39,,,,,,,15,2015,01,02
40,,,,,,,16,2015,01,02
41,,,,,,,17,2015,01,02
42,,,,,,,18,2015,01,02
43,,,,,,,19,2015,01,02
44,,,,,,,20,2015,01,02
45,,,,,,,21,2015,01,02
46,,,,,,,22,2015,01,02
47,,,,,,,23,2015,01,02
48,,,,,,,00,2015,01,03
49,,,,,,,01,2015,01,03
50,,,,,,,02,2015,01,03
51,,,,,,,03,2015,01,03
52,,,,,,,04,2015,01,03
53,,,,,,,05,2015,01,03
54,,,,,,,06,2015,01,03
55,,,,,,,07,2015,01,03
56,,,,,,,08,2015,01,03
57,,,,,,,09,2015,01,03
58,,,,,,,10,2015,01,03
59,,,,,,,11,2015,01,03
60,,,,,,,12,2015,01,03
61,,,,,,,13,2015,01,03
62,,,,,,,14,2015,01,03
63,,,,,,,15,2015,01,03
64,,,,,,,16,2015,01,03
65,,,,,,,17,2015,01,03
66,,,,,,,18,2015,01,03
67,,,,,,,19,2015,01,03
68,,,,,,,20,2015,01,03
69,,,,,,,21,2015,01,03
70,,,,,,,22,2015,01,03
71,,,,,,,23,2015,01,03
72,,,,,,,00,2015,01,04
73,,,,,,,01,2015,01,04
74,,,,,,,02,2015,01,04
75,,,,,,,03,2015,01,04
76,,,,,,,04,2015,01,04
77,,,,,,,05,2015,01,04
78,,,,,,,06,2015,01,04
79,,,,,,,07,2015,01,04
80,,,,,,,08,2015,01,04
81,,,,,,,09,2015,01,04
82,,,,,,,10,2015,01,04
83,,,,,,,11,2015,01,04
84,,,,,,,12,2015,01,04
85,,,,,,,13,2015,01,04
86,,,,,,,14,2015,01,04
87,,,,,,,15,2015,01,04
88,,,,,,,16,2015,01,04
89,,,,,,,17,2015,01,04
90,,,,,,,18,2015,01,04
91,,,,,,,19,2015,01,04
92,,,,,,,20,2015,01,04
93,,,,,,,21,2015,01,04
94,,,,,,,22,2015,01,04
95,,,,,,,23,2015,01,04
96,,,,,,,00,2015,01,05
97,,,,,,,01,2015,01,05
98,,,,,,,02,2015,01,05
99,,,,,,,03,2015,01,05
100,,,,,,,04,2015,01,05
101,,,,,,,05,2015,01,05
102,,,,,,,06,2015,01,05
103,,,,,,,07,2015,01,05
104,,,,,,,08,2015,01,05
105,,,,,,,09,2015,01,05
106,,,,,,,10,2015,01,05
107,,,,,,,11,2015,01,05
108,,,,,,,12,2015,01,05
109,,,,,,,13,2015,01,05
110,,,,,,,14,2015,01,05
111,,,,,,,15,2015,01,05
112,,,,,,,16,2015,01,05
113,,,,,,,17,2015,01,05
114,,,,,,,18,2015,01,05
115,,,,,,,19,2015,01,05
116,,,,,,,20,2015,01,05
117,,,,,,,21,2015,01,05
118,,,,,,,22,2015,01,05
119,,,,,,,23,2015,01,05
120,,,,,,,00,2015,01,06
121,,,,,,,01,2015,01,06
122,,,,,,,02,2015,01,06
123,,,,,,,03,2015,01,06
124,,,,,,,04,2015,01,06
125,,,,,,,05,2015,01,06
126,,,,,,,06,2015,01,06
127,,,,,,,07,2015,01,06
128,,,,,,,08,2015,01,06
129,,,,,,,09,2015,01,06
130,,,,,,,10,2015,01,06
131,,,,,,,11,2015,01,06
132,,,,,,,12,2015,01,06
133,,,,,,,13,2015,01,06
134,,,,,,,14,2015,01,06
135,,,,,,,15,2015,01,06
136,,,,,,,16,2015,01,06
137,,,,,,,17,2015,01,06
138,,,,,,,18,2015,01,06
139,,,,,,,19,2015,01,06
140,,,,,,,20,2015,01,06
141,,,,,,,21,2015,01,06
142,,,,,,,22,2015,01,06
143,,,,,,,23,2015,01,06
144,,,,,,,00,2015,01,07
145,,,,,,,01,2015,01,07
146,,,,,,,02,2015,01,07
147,,,,,,,03,2015,01,07
148,,,,,,,04,2015,01,07
149,,,,,,,05,2015,01,07
150,,,,,,,06,2015,01,07
151,,,,,,,07,2015,01,07
152,,,,,,,08,2015,01,07
153,,,,,,,09,2015,01,07
154,,,,,,,10,2015,01,07
155,,,,,,,11,2015,01,07
156,,,,,,,12,2015,01,07
157,,,,,,,13,2015,01,07
158,,,,,,,14,2015,01,07
