temperature_2m,relativehumidity_2m,dewpoint_2m,precipitation,pressure_msl,surface_pressure,cloudcover,et0_fao_evapotranspiration,windspeed_10m,shortwave_radiation,time_local,year,month,day,temp(f),month_sin,month_cos,day_sin,day_cos,hour_sin,hour_cos,temp_avg
77.7,0.6814763090077968,0.28647315633566456,-0.5416194334514366,1.2895526096635979,1.2895526096635763,-0.2856068801862085,-0.7315701053097419,-0.2512352307476542,-0.7185165968195902,0.0,,9.0,21.0,87.4,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,0.0,1.0,-0.5789937157980174
77.8,0.6814763090077968,0.28647315633566456,-0.5416194334514366,0.7489541357435091,0.7489541357434966,0.24621282774673162,-0.7315701053097419,0.22636045542610483,-0.7185165968195902,1.0,,9.0,21.0,87.4,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,0.25881904510252074,0.9659258262890683,-0.540670910560423
77.4,0.8315261385141005,0.5411159619673603,-0.5416194334514366,0.6138045172634485,0.6138045172634382,0.18712174908751605,-0.7315701053097419,1.5397485924039418,-0.7185165968195902,2.0,,9.0,21.0,87.1,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,0.49999999999999994,0.8660254037844387,-0.693962131510806
76.6,0.6814763090077968,-0.8594194690069575,-0.29864996797789495,-0.467392430576729,-0.4673924305768748,-0.2856068801862085,-0.7315701053097419,2.0173442785777005,-0.7185165968195902,3.0,,9.0,21.0,87.1,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,0.7071067811865475,0.7071067811865476,-1.0005445734115828
77.5,0.38137664999518933,-0.8594194690069575,-0.5416194334514366,-1.0079909044968178,-1.0079909044969544,-0.6992444308007175,-0.7315701053097419,1.420349670860502,-0.7185165968195902,4.0,,9.0,21.0,87.3,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,0.8660254037844386,0.5000000000000001,-0.693962131510806
77.6,0.23132682048888561,-0.8594194690069575,-0.5416194334514366,-1.1431405229768783,-1.1431405229770129,-1.3492462960520888,-0.7315701053097419,0.3457593769695447,-0.7185165968195902,5.0,,9.0,21.0,87.3,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,0.9659258262890683,0.25881904510252074,-0.7016266925583292
76.8,0.8315261385141005,-0.3501338577435659,-0.5416194334514366,-0.7376916675368502,-0.7376916675368378,-0.7583355094599331,-0.7315701053097419,-0.9676287600082922,-0.7185165968195902,6.0,,9.0,21.0,87.3,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,-0.7782723030335233
76.0,0.9815759680204043,-0.8594194690069575,-0.4808770670830512,-0.6025420490567897,-0.6025420490567795,-1.46742845337052,-0.7315701053097419,-0.5497325346062535,-0.7185165968195902,7.0,,9.0,21.0,87.3,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,0.9659258262890683,-0.25881904510252063,-0.8855761576987887
77.4,0.6814763090077968,0.03183035070396876,-0.5416194334514366,0.20835566182342036,0.2083556618232632,-1.0537909027560108,-0.6079244537080953,-0.19153576997593424,-0.5969058893183902,8.0,,9.0,21.0,87.3,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.49999999999999983,-0.8242596693186355
81.3,-0.8190219860552405,0.28647315633566456,-0.5416194334514366,1.4247022281436585,1.4247022281436346,-0.04924256554934624,0.010303804300137255,-1.0273282207800123,0.03546978968785004,9.0,,9.0,21.0,87.3,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,0.7071067811865476,-0.7071067811865475,-0.5330063495128998
