temperature_2m,relativehumidity_2m,dewpoint_2m,precipitation,pressure_msl,surface_pressure,cloudcover,et0_fao_evapotranspiration,windspeed_10m,shortwave_radiation,time_local,year,month,day,temp(f),forecast_temp(f),forecast_relativehumidity_2m,forecast_dewpoint_2m,forecast_precipitation,forecast_windspeed_10m,forecast_shortwave_radiation,month_sin,month_cos,day_sin,day_cos,hour_sin,hour_cos,temp_avg,surface_pressure_5avg
75.8,1.0030583572412903,-1.0756774291600935,0.490543378301047,-0.6052357759488338,-0.6052357759487448,-1.2894125878774305,-0.7970641387250966,0.8739511798611893,-0.7675366564175976,0.0,0.0,0.0,24.0,85.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,0.0,1.0,-1.098573366160951,0.0
75.3,1.0030583572412903,-1.5697684970996628,1.8178960489979978,-0.9062856955918852,-0.9062856955917088,-0.5475587701945254,-0.7970641387250966,1.1070048278241726,-0.7675366564175976,1.0,0.0,0.0,24.0,85.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,0.25881904510252074,0.9659258262890683,-1.31784948715116,0.0
75.4,1.1554216520121194,-1.1992001961449945,-0.20198844988866652,-1.0568106554133254,-1.0568106554132337,0.19429504748837978,-0.7970641387250966,0.5826341199074597,-0.7675366564175976,2.0,0.0,0.0,24.0,85.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,0.49999999999999994,0.8660254037844387,-1.2739942629531142,0.0
76.7,0.39360517815797424,-1.4462457301147615,-0.6636763353484755,-1.4331230549670542,-1.4331230549669602,-0.9714752374418997,-0.7970641387250966,0.40784388393522203,-0.7675366564175976,3.0,0.0,0.0,24.0,85.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,0.7071067811865475,0.7071067811865476,-0.7038763483785724,0.0
76.0,0.8506950624704613,-0.9521546621752098,-0.6636763353484755,-1.3578605750562913,-1.3578605750561978,-0.9714752374418997,-0.7970641387250966,-0.23305364796298336,-0.7675366564175976,4.0,0.0,0.0,24.0,85.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,0.8660254037844386,0.5000000000000001,-1.010862917764866,-1.3196306743152637
75.3,1.1554216520121194,-1.1992001961449945,-0.89452027807838,-1.508385534877817,-1.5083855348777226,-0.9714752374418997,-0.7970641387250966,-0.8156877678704425,-0.7675366564175976,5.0,0.0,0.0,24.0,85.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,0.9659258262890683,0.25881904510252074,-1.31784948715116,-1.5549288629003488
75.3,1.1554216520121194,-1.322722963129878,-0.6636763353484755,-1.4331230549670542,-1.4331230549669602,-0.44157965338268174,-0.7970641387250966,-1.980956007685361,-0.7675366564175976,6.0,0.0,0.0,24.0,84.9,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,-1.31784948715116,-1.6921861395750282
75.3,1.1554216520121194,-1.322722963129878,-0.20198844988866652,-0.304185856305868,-0.3041858563057806,1.2010966572008939,-0.7970641387250966,-1.165268239814918,-0.7675366564175976,7.0,0.0,0.0,24.0,84.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,0.9659258262890683,-0.25881904510252063,-1.31784948715116,-1.496104315753994
76.2,1.0030583572412903,-0.334540827250757,0.2596994355711425,0.1473890231586236,0.1473890231587083,1.9429504748837991,-0.6574324647878534,-0.8156877678704425,-0.6397214688896882,8.0,0.0,0.0,24.0,84.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,0.8660254037844387,-0.49999999999999983,-0.9231524693687813,-1.0843324857300674
78.0,0.39360517815797424,0.036027473703911204,0.2596994355711425,0.5237014227123523,0.5237014227124348,1.9429504748837991,-0.0989057690388806,-1.4565852997686475,-0.07036290626536426,9.0,0.0,0.0,24.0,84.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,0.7071067811865476,-0.7071067811865475,-0.13375843380403044,-0.5941279261775932
