temperature_2m,relativehumidity_2m,dewpoint_2m,precipitation,pressure_msl,surface_pressure,cloudcover,et0_fao_evapotranspiration,windspeed_10m,shortwave_radiation,time_local,year,month,day,temp(f),forecast_temp(f),forecast_relativehumidity_2m,forecast_dewpoint_2m,forecast_precipitation,forecast_windspeed_10m,forecast_shortwave_radiation
77.3,94.0,75.5,0.0,1016.4,1016.2,47.0,0.0,3.2,0.0,0.0,2023.0,9.0,27.0,85.1,,,,,,
77.9,91.0,75.2,0.0,1016.3,1016.1,68.0,0.0,4.3,0.0,1.0,2023.0,9.0,27.0,85.3,,,,,,
78.5,90.0,75.4,0.0,1015.7,1015.5,100.0,0.0,6.2,0.0,2.0,2023.0,9.0,27.0,85.3,,,,,,
78.3,95.0,76.5,0.035,1014.8,1014.6,100.0,0.0,7.4,0.0,3.0,2023.0,9.0,27.0,85.3,,,,,,
78.8,93.0,76.5,0.004,1013.7,1013.5,90.0,0.0,8.2,0.0,4.0,2023.0,9.0,27.0,85.3,,,,,,
79.3,91.0,76.5,0.0,1013.4,1013.2,83.0,0.0,8.9,0.0,5.0,2023.0,9.0,27.0,85.3,,,,,,
80.1,90.0,76.8,0.0,1014.0,1013.8,73.0,0.001,12.2,0.0,6.0,2023.0,9.0,27.0,85.1,,,,,,
80.7,88.0,76.8,0.0,1014.3,1014.1,65.0,0.001,13.0,0.0,7.0,2023.0,9.0,27.0,84.9,,,,,,
81.1,87.0,77.0,0.0,1015.1,1014.9,100.0,0.002,10.1,12.0,8.0,2023.0,9.0,27.0,84.6,,,,,,
82.1,86.0,77.6,0.0,1015.7,1015.5,100.0,0.003,7.9,86.0,9.0,2023.0,9.0,27.0,84.4,,,,,,
81.2,85.0,76.5,0.063,1015.7,1015.5,99.0,0.005,6.7,155.0,10.0,2023.0,9.0,27.0,84.2,,,,,,
81.4,85.0,76.4,0.059,1015.8,1015.6,95.0,0.008,6.1,270.0,11.0,2023.0,9.0,27.0,84.2,,,,,,
81.4,85.0,76.5,0.043,1015.3,1015.1,100.0,0.008,5.2,271.0,12.0,2023.0,9.0,27.0,84.4,,,,,,
81.9,84.0,76.5,0.004,1014.4,1014.2,100.0,0.007,3.2,231.0,13.0,2023.0,9.0,27.0,84.4,,,,,,
82.9,82.0,76.9,0.0,1013.6,1013.4,100.0,0.009,3.5,287.0,14.0,2023.0,9.0,27.0,84.4,,,,,,
84.8,78.0,77.3,0.004,1012.6,1012.4,77.0,0.015,4.5,514.0,15.0,2023.0,9.0,27.0,84.4,,,,,,
85.4,76.0,77.0,0.004,1012.2,1012.0,44.0,0.013,5.0,434.0,16.0,2023.0,9.0,27.0,84.6,,,,,,
86.0,72.0,75.9,0.004,1012.2,1012.0,51.0,0.013,5.0,433.0,17.0,2023.0,9.0,27.0,84.7,,,,,,
83.5,76.0,74.9,0.106,1012.7,1012.5,95.0,0.007,2.0,233.0,18.0,2023.0,9.0,27.0,85.1,,,,,,
81.2,85.0,76.2,0.051,1013.1,1012.9,100.0,0.002,0.7,53.0,19.0,2023.0,9.0,27.0,85.1,,,,,,
79.7,87.0,75.6,0.028,1013.2,1013.0,89.0,0.001,2.6,0.0,20.0,2023.0,9.0,27.0,85.3,,,,,,
78.3,92.0,75.8,0.02,1013.3,1013.1,80.0,0.0,3.1,0.0,21.0,2023.0,9.0,27.0,85.6,,,,,,
77.6,93.0,75.5,0.028,1014.0,1013.8,90.0,0.0,5.2,0.0,22.0,2023.0,9.0,27.0,85.6,,,,,,
77.1,94.0,75.3,0.031,1014.1,1013.9,82.0,0.0,5.5,0.0,23.0,2023.0,9.0,27.0,85.3,,,,,,
