t,tide(ft)
2015-01-01 00:00,0.604
2015-01-01 01:00,0.092
2015-01-01 02:00,-0.315
2015-01-01 03:00,-0.712
2015-01-01 04:00,-0.938
2015-01-01 05:00,-0.925
2015-01-01 06:00,-0.650
2015-01-01 07:00,-0.154
2015-01-01 08:00,0.312
2015-01-01 09:00,0.768
2015-01-01 10:00,1.155
2015-01-01 11:00,1.309
2015-01-01 12:00,1.079
2015-01-01 13:00,0.604
2015-01-01 14:00,0.157
2015-01-01 15:00,-0.210
2015-01-01 16:00,-0.492
2015-01-01 17:00,-0.617
2015-01-01 18:00,-0.476
2015-01-01 19:00,-0.135
2015-01-01 20:00,0.302
2015-01-01 21:00,0.653
2015-01-01 22:00,1.030
2015-01-01 23:00,1.220
2015-01-02 00:00,1.079
2015-01-02 01:00,0.561
2015-01-02 02:00,0.059
2015-01-02 03:00,-0.367
2015-01-02 04:00,-0.748
2015-01-02 05:00,-0.978
2015-01-02 06:00,-0.948
2015-01-02 07:00,-0.594
2015-01-02 08:00,-0.052
2015-01-02 09:00,0.440
2015-01-02 10:00,0.902
2015-01-02 11:00,1.276
2015-01-02 12:00,1.378
2015-01-02 13:00,1.115
2015-01-02 14:00,0.633
2015-01-02 15:00,0.161
2015-01-02 16:00,-0.249
2015-01-02 17:00,-0.584
2015-01-02 18:00,-0.709
2015-01-02 19:00,-0.545
2015-01-02 20:00,-0.164
2015-01-02 21:00,0.302
2015-01-02 22:00,0.728
2015-01-02 23:00,1.076
2015-01-03 00:00,1.240
2015-01-03 01:00,1.020
2015-01-03 02:00,0.482
2015-01-03 03:00,-0.013
2015-01-03 04:00,-0.436
2015-01-03 05:00,-0.787
2015-01-03 06:00,-0.951
2015-01-03 07:00,-0.846
2015-01-03 08:00,-0.456
2015-01-03 09:00,0.089
2015-01-03 10:00,0.568
2015-01-03 11:00,1.050
2015-01-03 12:00,1.414
2015-01-03 13:00,1.493
2015-01-03 14:00,1.201
2015-01-03 15:00,0.761
2015-01-03 16:00,0.272
2015-01-03 17:00,-0.187
2015-01-03 18:00,-0.466
2015-01-03 19:00,-0.522
2015-01-03 20:00,-0.318
2015-01-03 21:00,0.125
2015-01-03 22:00,0.581
2015-01-03 23:00,1.020
2015-01-04 00:00,1.362
2015-01-04 01:00,1.460
2015-01-04 02:00,1.161
2015-01-04 03:00,0.633
2015-01-04 04:00,0.151
2015-01-04 05:00,-0.305
2015-01-04 06:00,-0.663
2015-01-04 07:00,-0.814
2015-01-04 08:00,-0.682
2015-01-04 09:00,-0.262
2015-01-04 10:00,0.305
2015-01-04 11:00,0.787
2015-01-04 12:00,1.227
2015-01-04 13:00,1.470
2015-01-04 14:00,1.388
2015-01-04 15:00,0.942
2015-01-04 16:00,0.440
2015-01-04 17:00,-0.033
2015-01-04 18:00,-0.499
2015-01-04 19:00,-0.794
2015-01-04 20:00,-0.830
2015-01-04 21:00,-0.541
2015-01-04 22:00,-0.082
2015-01-04 23:00,0.358
2015-01-05 00:00,0.781
2015-01-05 01:00,1.073
2015-01-05 02:00,1.014
2015-01-05 03:00,0.561
2015-01-05 04:00,0.059
2015-01-05 05:00,-0.354
2015-01-05 06:00,-0.791
2015-01-05 07:00,-1.086
2015-01-05 08:00,-1.142
2015-01-05 09:00,-0.915
2015-01-05 10:00,-0.446
2015-01-05 11:00,0.079
2015-01-05 12:00,0.541
2015-01-05 13:00,0.978
2015-01-05 14:00,1.250
2015-01-05 15:00,1.132
2015-01-05 16:00,0.581
2015-01-05 17:00,0.016
2015-01-05 18:00,-0.423
2015-01-05 19:00,-0.768
2015-01-05 20:00,-0.978
2015-01-05 21:00,-0.915
2015-01-05 22:00,-0.551
2015-01-05 23:00,-0.085
2015-01-06 00:00,0.289
2015-01-06 01:00,0.702
2015-01-06 02:00,0.925
2015-01-06 03:00,0.892
2015-01-06 04:00,0.469
2015-01-06 05:00,-0.131
2015-01-06 06:00,-0.594
2015-01-06 07:00,-0.965
2015-01-06 08:00,-1.201
2015-01-06 09:00,-1.207
2015-01-06 10:00,-0.883
2015-01-06 11:00,-0.404
2015-01-06 12:00,0.075
2015-01-06 13:00,0.495
2015-01-06 14:00,0.840
